epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,44929.2,0.3612,0.37774,0.15107,0.79996,0.99293,0.99048,0.99294,0.92933,0.99293,0.99048,0.99294,0.79177,0.37496,0.46294,0.13849,0.805,0.002028,0.002028,0.002028
110,45423.5,0.35041,0.38497,0.14548,0.8031,0.99036,0.99064,0.99279,0.92595,0.99036,0.99064,0.99279,0.79374,0.3785,0.46056,0.13891,0.80659,0.002019,0.002019,0.002019
111,45750.7,0.3611,0.39395,0.15199,0.79738,0.99408,0.98827,0.99196,0.92859,0.99435,0.98854,0.99197,0.79793,0.37701,0.45451,0.1416,0.80456,0.00201,0.00201,0.00201
112,46207,0.35918,0.39337,0.15302,0.80014,0.97684,0.98328,0.98842,0.92124,0.97684,0.98328,0.98842,0.78034,0.37374,0.497,0.1545,0.80479,0.002001,0.002001,0.002001
113,46644.6,0.3481,0.39017,0.14302,0.79876,0.989,0.99075,0.99247,0.93107,0.989,0.99075,0.99247,0.79563,0.3687,0.46773,0.1358,0.80485,0.001992,0.001992,0.001992
114,47092.8,0.35628,0.38029,0.14585,0.7979,0.98598,0.99256,0.99209,0.93156,0.98598,0.99256,0.99209,0.79935,0.37548,0.4559,0.14516,0.8041,0.001983,0.001983,0.001983
115,47446.4,0.35668,0.39159,0.15241,0.79314,0.99504,0.9891,0.99243,0.93099,0.99504,0.9891,0.99243,0.80213,0.377,0.46424,0.1399,0.80338,0.001974,0.001974,0.001974
116,47910.5,0.35591,0.39988,0.15047,0.79442,0.99463,0.99379,0.99201,0.93042,0.99463,0.99379,0.99201,0.79748,0.37033,0.46286,0.13486,0.80374,0.001965,0.001965,0.001965
117,48232.9,0.35491,0.40178,0.14918,0.79467,0.99288,0.99339,0.99242,0.92844,0.99288,0.99339,0.99242,0.80432,0.37279,0.46368,0.13704,0.80367,0.001956,0.001956,0.001956
118,48722.1,0.34644,0.36494,0.14731,0.80371,0.99151,0.99453,0.9924,0.92751,0.99151,0.99453,0.9924,0.79778,0.37257,0.46515,0.14097,0.80356,0.001947,0.001947,0.001947
119,49162.2,0.35815,0.39099,0.14836,0.80328,0.9157,0.84385,0.89994,0.83,0.89408,0.81448,0.84943,0.63766,0.4289,3.90361,0.56453,0.82801,0.001938,0.001938,0.001938
120,49600.1,0.35303,0.38748,0.14671,0.80203,0.99318,0.99205,0.99174,0.931,0.99318,0.99205,0.99174,0.79974,0.37043,0.45326,0.13478,0.80355,0.001929,0.001929,0.001929
121,49995.9,0.3544,0.38052,0.14795,0.79917,0.98893,0.9886,0.9911,0.92656,0.98893,0.9886,0.9911,0.78909,0.37583,0.46241,0.14809,0.80555,0.00192,0.00192,0.00192
122,50410.9,0.34568,0.37597,0.14588,0.8001,0.97036,0.97611,0.98638,0.92097,0.97006,0.97584,0.98603,0.78118,0.37466,0.59796,0.16299,0.80573,0.001911,0.001911,0.001911
123,50785,0.34753,0.39228,0.14764,0.79442,0.99118,0.99273,0.99233,0.92933,0.99118,0.99273,0.99233,0.80341,0.37125,0.46181,0.136,0.80513,0.001902,0.001902,0.001902
124,51277.5,0.34777,0.36704,0.1433,0.79803,0.99137,0.98571,0.99279,0.92779,0.99137,0.98571,0.99279,0.78793,0.37402,0.49178,0.14896,0.80557,0.001893,0.001893,0.001893
125,51634.8,0.34171,0.36358,0.14195,0.7998,0.99047,0.99433,0.99235,0.92773,0.99047,0.99433,0.99235,0.79941,0.37125,0.47167,0.13572,0.8035,0.001884,0.001884,0.001884
126,52074.4,0.34813,0.36663,0.14768,0.79984,0.99063,0.99302,0.99239,0.93145,0.99063,0.99302,0.99239,0.80103,0.36773,0.46951,0.13507,0.80112,0.001875,0.001875,0.001875
127,52421.9,0.35055,0.36222,0.14851,0.79621,0.99113,0.99283,0.99253,0.92948,0.99057,0.99227,0.99239,0.78651,0.37501,0.49043,0.13398,0.80347,0.001866,0.001866,0.001866
